NIC_Code,NIC_Description,Variable,Year,State,Value
14,manufacture of wearing apparel,Number of Factories,1980 - 1981,Andhra Pradesh,9.0
14,manufacture of wearing apparel,Number of Factories,1981 - 1982,Andhra Pradesh,9.0
14,manufacture of wearing apparel,Number of Factories,1982 - 1983,Andhra Pradesh,5.0
14,manufacture of wearing apparel,Number of Factories,1983 - 1984,Andhra Pradesh,13.0
14,manufacture of wearing apparel,Number of Factories,1984 - 1985,Andhra Pradesh,6.0
14,manufacture of wearing apparel,Number of Factories,1985 - 1986,Andhra Pradesh,17.0
14,manufacture of wearing apparel,Number of Factories,1986 - 1987,Andhra Pradesh,10.0
14,manufacture of wearing apparel,Number of Factories,1987 - 1988,Andhra Pradesh,20.0
14,manufacture of wearing apparel,Number of Factories,1988 - 1989,Andhra Pradesh,14.0
14,manufacture of wearing apparel,Number of Factories,1989 - 1990,Andhra Pradesh,25.0
14,manufacture of wearing apparel,Number of Factories,1991 - 1992,Andhra Pradesh,24.0
14,manufacture of wearing apparel,Number of Factories,1992 - 1993,Andhra Pradesh,28.0
14,manufacture of wearing apparel,Number of Factories,1993 - 1994,Andhra Pradesh,51.0
14,manufacture of wearing apparel,Number of Factories,1994 - 1995,Andhra Pradesh,36.0
14,manufacture of wearing apparel,Number of Factories,1995 - 1996,Andhra Pradesh,34.0
14,manufacture of wearing apparel,Number of Factories,1996 - 1997,Andhra Pradesh,41.0
14,manufacture of wearing apparel,Number of Factories,1997 - 1998,Andhra Pradesh,48.0
14,manufacture of wearing apparel,Number of Factories,1998 - 1999,Andhra Pradesh,40.0
14,manufacture of wearing apparel,Number of Factories,1999 - 2000,Andhra Pradesh,38.0
14,manufacture of wearing apparel,Number of Factories,2000 - 2001,Andhra Pradesh,34.0
14,manufacture of wearing apparel,Number of Factories,2001 - 2002,Andhra Pradesh,52.0
14,manufacture of wearing apparel,Number of Factories,2002 - 2003,Andhra Pradesh,39.0
14,manufacture of wearing apparel,Number of Factories,2003 - 2004,Andhra Pradesh,43.0
14,manufacture of wearing apparel,Number of Factories,2004 - 2005,Andhra Pradesh,42.0
14,manufacture of wearing apparel,Number of Factories,2005 - 2006,Andhra Pradesh,53.0
14,manufacture of wearing apparel,Number of Factories,2006 - 2007,Andhra Pradesh,68.0
14,manufacture of wearing apparel,Number of Factories,2007 - 2008,Andhra Pradesh,66.0
14,manufacture of wearing apparel,Number of Factories,2008 - 2009,Andhra Pradesh,57.0
14,manufacture of wearing apparel,Number of Factories,2009 - 2010,Andhra Pradesh,62.0
14,manufacture of wearing apparel,Number of Factories,2010 - 2011,Andhra Pradesh,93.0
14,manufacture of wearing apparel,Number of Factories,2011 - 2012,Andhra Pradesh,115.0
14,manufacture of wearing apparel,Number of Factories,2012 - 2013,Andhra Pradesh,55.0
14,manufacture of wearing apparel,Number of Factories,2013 - 2014,Andhra Pradesh,64.0
14,manufacture of wearing apparel,Number of Factories,2014 - 2015,Andhra Pradesh,55.0
14,manufacture of wearing apparel,Number of Factories,2015 - 2016,Andhra Pradesh,55.0
14,manufacture of wearing apparel,Number of Factories,2016 - 2017,Andhra Pradesh,78.0
14,manufacture of wearing apparel,Number of Factories,2017 - 2018,Andhra Pradesh,64.0
14,manufacture of wearing apparel,Number of Factories,2018 - 2019,Andhra Pradesh,114.0
14,manufacture of wearing apparel,Number of Factories,2019 - 2020,Andhra Pradesh,103.0
14,manufacture of wearing apparel,Number of Factories,2020 - 2021,Andhra Pradesh,95.0
14,manufacture of wearing apparel,Number of Factories,2021 - 2022,Andhra Pradesh,86.0
14,manufacture of wearing apparel,Number of Factories,2022 - 2023,Andhra Pradesh,81.0
14,manufacture of wearing apparel,Number of Factories,2023 - 2024,Andhra Pradesh,86.0
14,manufacture of wearing apparel,Number of Factories,1980 - 1981,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,1981 - 1982,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,1982 - 1983,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,1983 - 1984,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,1984 - 1985,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,1985 - 1986,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,1986 - 1987,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,1987 - 1988,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,1988 - 1989,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,1989 - 1990,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,1991 - 1992,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,1992 - 1993,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,1993 - 1994,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,1994 - 1995,Arunachal Pradesh,
14,manufacture of wearing apparel,Number of Factories,1995 - 1996,Arunachal Pradesh,
