Year,State,Variable_ID,Variable,Value
1980 - 1981,Andaman & Nicobar Islands,50,Addition Stock Finished,
1980 - 1981,Andhra Pradesh,50,Addition Stock Finished,9.0
1980 - 1981,Arunachal Pradesh,50,Addition Stock Finished,
1980 - 1981,Assam,50,Addition Stock Finished,0.0
1980 - 1981,Bihar,50,Addition Stock Finished,3.0
1980 - 1981,Chandigarh,50,Addition Stock Finished,
1980 - 1981,Chhattisgarh,50,Addition Stock Finished,
1980 - 1981,Dadra & Nagar Haveli,50,Addition Stock Finished,
1980 - 1981,Dadra & Nagar Haveli & Daman & Diu,50,Addition Stock Finished,
1980 - 1981,Daman & Diu,50,Addition Stock Finished,
1980 - 1981,Delhi,50,Addition Stock Finished,325.0
1980 - 1981,Goa,50,Addition Stock Finished,
1980 - 1981,"Goa, Daman & Diu",50,Addition Stock Finished,3.0
1980 - 1981,Gujarat,50,Addition Stock Finished,156.0
1980 - 1981,Haryana,50,Addition Stock Finished,7.0
1980 - 1981,Himachal Pradesh,50,Addition Stock Finished,
1980 - 1981,Jammu & Kashmir,50,Addition Stock Finished,
1980 - 1981,Jharkhand,50,Addition Stock Finished,
1980 - 1981,Karnataka,50,Addition Stock Finished,127.0
1980 - 1981,Kerala,50,Addition Stock Finished,15.0
1980 - 1981,Ladakh,50,Addition Stock Finished,
1980 - 1981,Lakshadweep,50,Addition Stock Finished,
1980 - 1981,Madhya Pradesh,50,Addition Stock Finished,16.0
1980 - 1981,Maharashtra,50,Addition Stock Finished,601.0
1980 - 1981,Manipur,50,Addition Stock Finished,
1980 - 1981,Meghalaya,50,Addition Stock Finished,
1980 - 1981,Mizoram,50,Addition Stock Finished,
1980 - 1981,Nagaland,50,Addition Stock Finished,0.0
1980 - 1981,Orissa,50,Addition Stock Finished,
1980 - 1981,Puducherry,50,Addition Stock Finished,0.0
1980 - 1981,Punjab,50,Addition Stock Finished,268.0
1980 - 1981,Rajasthan,50,Addition Stock Finished,21.0
1980 - 1981,Sikkim,50,Addition Stock Finished,
1980 - 1981,Tamil Nadu,50,Addition Stock Finished,371.0
1980 - 1981,Telangana,50,Addition Stock Finished,
1980 - 1981,Tripura,50,Addition Stock Finished,
1980 - 1981,Uttar Pradesh,50,Addition Stock Finished,24.0
1980 - 1981,Uttarakhand,50,Addition Stock Finished,
