Variable_ID,Variable,Year,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Nagaland,Orissa,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Andaman & Nicobar Islands,Chandigarh,Dadra & Nagar Haveli,Daman & Diu,"Goa, Daman & Diu",Delhi,Puducherry,Mizoram,Ladakh,Dadra & Nagar Haveli & Daman & Diu,Lakshadweep
50,Addition Stock Finished,1980 - 1981,9.0,,0.0,3.0,,,156.0,7.0,,,,127.0,15.0,16.0,601.0,,,0.0,,268.0,21.0,,371.0,,,24.0,,99.0,,,,,3.0,325.0,0.0,,,,
50,Addition Stock Finished,1981 - 1982,9.0,,0.0,5.0,,,147.0,5.0,,,,145.0,18.0,18.0,602.0,,,0.0,,277.0,15.0,,366.0,,,30.0,,106.0,,,,,3.0,281.0,0.0,,,,
50,Addition Stock Finished,1982 - 1983,5.0,,0.0,3.0,,,114.0,3.0,,,,118.0,18.0,16.0,466.0,,,0.0,,210.0,18.0,,384.0,,,35.0,,82.0,,,,,4.0,266.0,0.0,,,,
50,Addition Stock Finished,1983 - 1984,13.0,,0.0,0.0,,,113.0,3.0,,,,109.0,17.0,21.0,441.0,,,0.0,3.0,253.0,13.0,,357.0,,,50.0,,73.0,,,,,4.0,344.0,0.0,,,,
50,Addition Stock Finished,1984 - 1985,6.0,,0.0,3.0,,,117.0,3.0,,,,103.0,14.0,22.0,511.0,,,0.0,,290.0,15.0,,655.0,,,41.0,,69.0,,,,,3.0,323.0,0.0,,,,
50,Addition Stock Finished,1985 - 1986,17.0,,0.0,0.0,,,125.0,4.0,,,,97.0,17.0,22.0,518.0,,,0.0,4.0,320.0,21.0,,448.0,,,64.0,,87.0,,,,,3.0,304.0,0.0,,,,
50,Addition Stock Finished,1986 - 1987,10.0,,0.0,3.0,,,123.0,5.0,,9.0,,101.0,12.0,19.0,533.0,,,0.0,,308.0,19.0,,480.0,,,49.0,,69.0,,,,,5.0,304.0,0.0,,,,
50,Addition Stock Finished,1987 - 1988,20.0,,0.0,4.0,,,146.0,4.0,,4.0,,96.0,27.0,17.0,412.0,,,0.0,4.0,354.0,17.0,,541.0,,,72.0,,76.0,,,,,5.0,472.0,5.0,,,,
50,Addition Stock Finished,1988 - 1989,14.0,,0.0,4.0,,,140.0,9.0,,3.0,,125.0,13.0,28.0,576.0,,,0.0,3.0,351.0,26.0,,560.0,,,100.0,,77.0,,,,,6.0,356.0,3.0,,,,
50,Addition Stock Finished,1989 - 1990,25.0,,,8.0,,7.0,111.0,14.0,0.0,4.0,,157.0,13.0,17.0,517.0,,,,7.0,401.0,3.0,,683.0,,,94.0,,47.0,,,,,,366.0,,,,,
