Data Type,Item Name,From Date,To Date
NIC-1998,2020,1998-1999,2003-2004
NIC-1998,"Accumulators, primary cells and primary batteries",1998-1999,2003-2004
NIC-1998,"Agricultural and animal husbandry service activities, except veterinary activities.",1998-1999,2003-2004
NIC-1998,Agricultural and forestry machinery,1998-1999,2003-2004
NIC-1998,Aircraft and spacecraft,1998-1999,2003-2004
NIC-1998,"Articles of concrete, cement and plaster",1998-1999,2003-2004
NIC-1998,Bakery products,1998-1999,2003-2004
NIC-1998,Basic chemicals except fertilizers and nitrogen compounds,1998-1999,2003-2004
NIC-1998,Basic Iron & Steel,1998-1999,2003-2004
NIC-1998,Basic precious and non-ferrous metals,1998-1999,2003-2004
NIC-1998,Bicycles and invalid carriages,1998-1999,2003-2004
NIC-1998,Bodies (coach work) for motor vehicles; manufacture of trailers and semi-trailers,1998-1999,2003-2004
NIC-1998,Builders’ carpentry and joinery,1998-1999,2003-2004
NIC-1998,Building and repair of ships and boats,1998-1999,2003-2004
NIC-1998,Building and repairing of pleasure and sporting boats,1998-1999,2003-2004
NIC-1998,Carpet and rugs other,1998-1999,2003-2004
NIC-1998,Casting of iron and steel,1998-1999,2003-2004
NIC-1998,Casting of non-ferrous metals,1998-1999,2003-2004
NIC-1998,"Cement, lime and plaster",1998-1999,2003-2004
NIC-1998,"Cocoa, chocolate and sugar confectionery",1998-1999,2003-2004
NIC-1998,"Cordage, rope, twine and netting",1998-1999,2003-2004
NIC-1998,Corrugated paper and paperboard and of containers of paper and paperboard,1998-1999,2003-2004
NIC-1998,"Cutlery, hand tools and general hardware",1998-1999,2003-2004
NIC-1998,"Cutting, shaping and finishing of stone",1998-1999,2003-2004
NIC-1998,Dairy product,1998-1999,2003-2004
NIC-1998,"Distilling, rectifying and blending of spirits; ethyl alcohol production from fermented materials",1998-1999,2003-2004
NIC-1998,"Domestic appliances, n.e.c.",1998-1999,2003-2004
NIC-1998,Electric lamps and lighting equipment,1998-1999,2003-2004
NIC-1998,"Electric motors, generators and transformers",1998-1999,2003-2004
NIC-1998,Electricity distribution and control apparatus,1998-1999,2003-2004
NIC-1998,Electronic valves and tubes and other electronic components,1998-1999,2003-2004
NIC-1998,"Engines and turbines, except aircraft, vehicle and cycle engines",1998-1999,2003-2004
NIC-1998,Extraction of salt.,1998-1999,2003-2004
NIC-1998,Fertilizers and nitrogen compounds,1998-1999,2003-2004
NIC-1998,Finishing of textile,1998-1999,2003-2004
NIC-1998,Footwear.,1998-1999,2003-2004
NIC-1998,"Forging, pressing , stamping and roll-forming of metal; powder metallurgy",1998-1999,2003-2004
NIC-1998,Fur; manufacture of articles of fur,1998-1999,2003-2004
NIC-1998,Furniture,1998-1999,2003-2004
NIC-1998,Games and toys,1998-1999,2003-2004
NIC-1998,Glass and glass products,1998-1999,2003-2004
NIC-1998,Grain mill products,1998-1999,2003-2004
NIC-1998,Industrial process control equipment,1998-1999,2003-2004
NIC-1998,"Instruments and appliances for measuring, checking, testing, navigating and other purposes except industrial process control equipment",1998-1999,2003-2004
NIC-1998,Insulated wire and cable,1998-1999,2003-2004
NIC-1998,Jewellery and related articles,1998-1999,2003-2004
NIC-1998,Knitted and crocheted fabrics and articles,1998-1999,2003-2004
NIC-1998,Leather,1998-1999,2003-2004
NIC-1998,Lifting and handling equipment,1998-1999,2003-2004
NIC-1998,"Luggage, handbags, and the like, saddlery and harness",1998-1999,2003-2004
NIC-1998,"Macaroni, noodles, couscous and similar farinaceous products",1998-1999,2003-2004
NIC-1998,Machine-tools,1998-1999,2003-2004
NIC-1998,"Machinery for food, beverage and tobacco processing",1998-1999,2003-2004
NIC-1998,"Machinery for metallurgy: converters, ingot moulds, ladles and casting machines; metal rolling mills and rolls for such mills.",1998-1999,2003-2004
NIC-1998,"Machinery for textile, apparel and leather production",1998-1999,2003-2004
NIC-1998,"Made-up textile articles, except apparel",1998-1999,2003-2004
NIC-1998,Malt liquors and malt,1998-1999,2003-2004
NIC-1998,Man-made fibers,1998-1999,2003-2004
NIC-1998,"Manufacture of bearings, gears, gearing and driving elements",1998-1999,2003-2004
NIC-1998,Manufacture of coke oven products,1998-1999,2003-2004
NIC-1998,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,1998-1999,2003-2004
NIC-1998,Medical and surgical equipment and orthopedic appliances,1998-1999,2003-2004
NIC-1998,"Mining, quarrying and construction",1998-1999,2003-2004
NIC-1998,Motor vehicles,1998-1999,2003-2004
NIC-1998,Motorcycles,1998-1999,2003-2004
NIC-1998,Musical instruments,1998-1999,2003-2004
NIC-1998,Non-structural non-refractory ceramic ware,1998-1999,2003-2004
NIC-1998,"Office, accounting and computing machinery",1998-1999,2003-2004
NIC-1998,Optical instruments and photographic equipment,1998-1999,2003-2004
NIC-1998,Other articles of paper and paperboard,1998-1999,2003-2004
NIC-1998,Other chemical product n.e.c.,1998-1999,2003-2004
NIC-1998,Other electrical equipment n.e.c.,1998-1999,2003-2004
NIC-1998,Other fabricated metal products n.e.c.,1998-1999,2003-2004
NIC-1998,Other food products n.e.c.,1998-1999,2003-2004
NIC-1998,Other general purpose machinery,1998-1999,2003-2004
NIC-1998,Other manufacturing n.e.c.,1998-1999,2003-2004
NIC-1998,Other non-metallic mineral products n.e.c.,1998-1999,2003-2004
NIC-1998,"Other products of wood, articles of cork, straw and plaiting materials",1998-1999,2003-2004
NIC-1998,"Other publishing, photos and postcards, greeting cards, time-tables, forms, posters and other printed matters",1998-1999,2003-2004
NIC-1998,Other rubber products,1998-1999,2003-2004
NIC-1998,Other special purpose machinery,1998-1999,2003-2004
NIC-1998,Other textiles n.e.c.,1998-1999,2003-2004
NIC-1998,Other transport equipment n.e.c.,1998-1999,2003-2004
NIC-1998,Others,1998-1999,2003-2004
NIC-1998,"Ovens, furnaces and furnace burners",1998-1999,2003-2004
NIC-1998,"Paints, varnishes and similar coatings, printing ink and mastics",1998-1999,2003-2004
NIC-1998,Parts and accessories for motor vehicles and their engines,1998-1999,2003-2004
NIC-1998,Pesticides and other agro chemical products,1998-1999,2003-2004
NIC-1998,"Pharmaceuticals, medicinal chemicals and botanical products",1998-1999,2003-2004
NIC-1998,Plastic products,1998-1999,2003-2004
NIC-1998,Plastics in primary forms and of synthetic rubber.,1998-1999,2003-2004
NIC-1998,Preparation and spinning of textile fiber including weaving of textiles,1998-1999,2003-2004
NIC-1998,Prepared animal feeds,1998-1999,2003-2004
NIC-1998,Printing,1998-1999,2003-2004
NIC-1998,Processing and preserving of fish and fish products,1998-1999,2003-2004
NIC-1998,"Processing and preserving of fruit, vegetables",1998-1999,2003-2004
NIC-1998,"Production, processing and preserving of meat and meat products.",1998-1999,2003-2004
NIC-1998,"Publishing of books, brochures, musical books and other publications.",1998-1999,2003-2004
NIC-1998,"Publishing of newspapers, journals and periodicals",1998-1999,2003-2004
NIC-1998,"Pulp, paper and paper board",1998-1999,2003-2004
NIC-1998,"Pumps, compressors, taps and valves",1998-1999,2003-2004
NIC-1998,Railway and tramway locomotives and rolling stock,1998-1999,2003-2004
NIC-1998,Recycling of metal waste and scrap,1998-1999,2003-2004
NIC-1998,Recycling of non-metal waste and scrap,1998-1999,2003-2004
NIC-1998,Refined petroleum products,1998-1999,2003-2004
NIC-1998,Refractory ceramic products,1998-1999,2003-2004
NIC-1998,Reproduction of recorded media,1998-1999,2003-2004
NIC-1998,Saw milling and planing of wood,1998-1999,2003-2004
NIC-1998,Service activities related to printing,1998-1999,2003-2004
NIC-1998,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",1998-1999,2003-2004
NIC-1998,Soft drinks; production of mineral waters,1998-1999,2003-2004
NIC-1998,Sports goods,1998-1999,2003-2004
NIC-1998,Starches and starch products,1998-1999,2003-2004
NIC-1998,"Steam generators, except central heating hot water boilers",1998-1999,2003-2004
NIC-1998,Structural metal products,1998-1999,2003-2004
NIC-1998,Structural non-refractory clay and ceramic products,1998-1999,2003-2004
NIC-1998,Sugar,1998-1999,2003-2004
NIC-1998,"Tanks, reservoirs and containers of metal",1998-1999,2003-2004
NIC-1998,"Television and radio receivers, sound or video recording or reproducing apparatus and associated goods",1998-1999,2003-2004
NIC-1998,Television and radio transmitters and apparatus for line telephony and line telegraphy,1998-1999,2003-2004
NIC-1998,Tobacco products,1998-1999,2003-2004
NIC-1998,Total,1998-1999,2003-2004
NIC-1998,Treatment and coating of metals; general mechanical engineering on a fee or contract basis,1998-1999,2003-2004
NIC-1998,Vegetable and animal oils and fats,1998-1999,2003-2004
NIC-1998,"Veneer sheets; plywood, laminboard, particle board and other panels and boards",1998-1999,2003-2004
NIC-1998,Watches and clocks,1998-1999,2003-2004
NIC-1998,Weapons and ammunition,1998-1999,2003-2004
NIC-1998,"Wearing apparel, except fur apparel",1998-1999,2003-2004
NIC-1998,Wines,1998-1999,2003-2004
NIC-1998,Wooden containers,1998-1999,2003-2004
NIC-2004,"Accumulators, primary cells and primary batteries",2004-2005,2007-2008
NIC-2004,"Agricultural and animal husbandry service activities, except veterinary activities.",2004-2005,2007-2008
NIC-2004,Agricultural and forestry machinery,2004-2005,2007-2008
NIC-2004,Aircraft and spacecraft,2004-2005,2007-2008
NIC-2004,"Articles of concrete, cement and plaster",2004-2005,2007-2008
NIC-2004,Bakery products,2004-2005,2007-2008
NIC-2004,Basic chemicals except fertilizers and nitrogen compounds,2004-2005,2007-2008
NIC-2004,Basic Iron & Steel,2004-2005,2007-2008
NIC-2004,Basic precious and non-ferrous metals,2004-2005,2007-2008
NIC-2004,"Bearings, gears, gearing and driving elements",2004-2005,2007-2008
NIC-2004,Bicycles and invalid carriages,2004-2005,2007-2008
NIC-2004,"Blankets, shawls, carpets, rugs and other similar textile products by hand",2004-2005,2007-2008
NIC-2004,Bodies (coach work) for motor vehicles; trailers and semi-trailers,2004-2005,2007-2008
NIC-2004,Builders’ carpentry and joinery,2004-2005,2007-2008
NIC-2004,Building and repairing of pleasure and sporting boats,2004-2005,2007-2008
NIC-2004,Building and repairing of ships,2004-2005,2007-2008
NIC-2004,Carpet and rugs other than by hand,2004-2005,2007-2008
NIC-2004,Casting of iron and steel,2004-2005,2007-2008
NIC-2004,Casting of non-ferrous metals,2004-2005,2007-2008
NIC-2004,"Cement, lime and plaster",2004-2005,2007-2008
NIC-2004,"Cocoa, chocolate and sugar confectionery",2004-2005,2007-2008
NIC-2004,Coke oven products,2004-2005,2007-2008
NIC-2004,"Cordage, rope, twine and netting",2004-2005,2007-2008
NIC-2004,Corrugated paper and paperboard and containers of paper and paperboard,2004-2005,2007-2008
NIC-2004,"Cutlery, hand tools and general hardware",2004-2005,2007-2008
NIC-2004,"Cutting, shaping and finishing of stone",2004-2005,2007-2008
NIC-2004,Dairy product,2004-2005,2007-2008
NIC-2004,Direct Reduced Iron (DRI)/ Sponge Iron and other spongy ferrous products,2004-2005,2007-2008
NIC-2004,"Distilling, rectifying and blending of spirits; ethyl alcohol production from fermented materials",2004-2005,2007-2008
NIC-2004,"Domestic appliances, n.e.c.",2004-2005,2007-2008
NIC-2004,Dressing and dyeing of fur; manufacture of articles of fur,2004-2005,2007-2008
NIC-2004,Electric lamps and lighting equipment,2004-2005,2007-2008
NIC-2004,"Electric motors, generators and transformers",2004-2005,2007-2008
NIC-2004,Electricity distribution and control apparatus,2004-2005,2007-2008
NIC-2004,Electronic valves and tubes and other electronic components,2004-2005,2007-2008
NIC-2004,"Embroidery work, zari work and making of ornamental trimmings by hand",2004-2005,2007-2008
NIC-2004,"Engines and turbines, except aircraft, vehicle and cycle engines",2004-2005,2007-2008
NIC-2004,Extraction of salt.,2004-2005,2007-2008
NIC-2004,Ferro alloys,2004-2005,2007-2008
NIC-2004,Fertilizers and nitrogen compounds,2004-2005,2007-2008
NIC-2004,Finishing of textile excluding khadi/handloom,2004-2005,2007-2008
NIC-2004,Finishing of textiles,2004-2005,2007-2008
NIC-2004,"Flat products, coated with zinc, tin, chromium or other materials",2004-2005,2007-2008
NIC-2004,Flat steel products not coated,2004-2005,2007-2008
NIC-2004,Footwear.,2004-2005,2007-2008
NIC-2004,"Forging, pressing , stamping and roll-forming of metal; powder metallurgy",2004-2005,2007-2008
NIC-2004,Furniture,2004-2005,2007-2008
NIC-2004,Games and toys,2004-2005,2007-2008
NIC-2004,Glass and glass products,2004-2005,2007-2008
NIC-2004,Grain mill products,2004-2005,2007-2008
NIC-2004,Industrial process control equipment,2004-2005,2007-2008
NIC-2004,"Instruments and appliances for measuring, checking, testing, navigating and other purposes except industrial process control equipment",2004-2005,2007-2008
NIC-2004,Insulated wire and cable,2004-2005,2007-2008
NIC-2004,Jewellery and related articles,2004-2005,2007-2008
NIC-2004,Knitted and crocheted fabrics and articles,2004-2005,2007-2008
NIC-2004,Lifting and handling equipment,2004-2005,2007-2008
NIC-2004,"Luggage, handbags, and the like, saddlery and harness",2004-2005,2007-2008
NIC-2004,"Macaroni, noodles, couscous and similar farinaceous products",2004-2005,2007-2008
NIC-2004,Machine-tools,2004-2005,2007-2008
NIC-2004,"Machinery for food, beverage and tobacco processing",2004-2005,2007-2008
NIC-2004,"Machinery for metallurgy: converters, ingot moulds, ladles and casting machines; metal rolling mills and rolls for such mills",2004-2005,2007-2008
NIC-2004,"Machinery for mining, quarrying and construction",2004-2005,2007-2008
NIC-2004,"Machinery for textile, apparel and leather production",2004-2005,2007-2008
NIC-2004,"Made-up textile articles, except apparel",2004-2005,2007-2008
NIC-2004,Malt liquors and malt,2004-2005,2007-2008
NIC-2004,Man-made fibers,2004-2005,2007-2008
NIC-2004,Mdical and surgical equipment and orthopedic appliances,2004-2005,2007-2008
NIC-2004,Motor vehicles,2004-2005,2007-2008
NIC-2004,Motorcycles,2004-2005,2007-2008
NIC-2004,Musical instruments,2004-2005,2007-2008
NIC-2004,Non-flat steel products,2004-2005,2007-2008
NIC-2004,Non-structural non-refractory ceramic ware,2004-2005,2007-2008
NIC-2004,"Office, accounting and computing machinery",2004-2005,2007-2008
NIC-2004,Optical instruments and photographic equipment,2004-2005,2007-2008
NIC-2004,Other articles of paper and paperboard,2004-2005,2007-2008
NIC-2004,Other basic iron and steel n.e.c.,2004-2005,2007-2008
NIC-2004,Other chemical product n.e.c.,2004-2005,2007-2008
NIC-2004,Other electrical equipment n.e.c,2004-2005,2007-2008
