Data Type,Group Type,Series Name,Item Name,From Date,To Date
Major Classification of Factories by States,Physical Characteristics By States,1987,PF and Other Benefits,1979-1980,1997-1998
Major Classification of Factories by States,Physical Characteristics By States,1987,Productive Capital,1970-1971,1997-1998
Major Classification of Factories by States,Physical Characteristics By States,1987,Number of Factories,1970-1971,1997-1998
Major Classification of Factories by States,Physical Characteristics By States,1987,Physical Working Capital,1974-1975,1997-1998
Major Classification of Factories by States,Physical Characteristics By States,1987,Number of Mandays - Employees,1974-1975,1996-1997
Major Classification of Factories by States,Physical Characteristics By States,1987,Working Capital,1970-1971,1997-1998
Major Classification of Factories by States,Physical Characteristics By States,1987,Invested Capital,1974-1975,1997-1998
Major Classification of Factories by States,Physical Characteristics By States,1987,Gross Fixed Capital Formation,1979-1980,1997-1998
Major Classification of Factories by States,Physical Characteristics By States,1987,Interest Paid,1979-1980,1997-1998
Major Classification of Factories by States,Physical Characteristics By States,1987,Gross Value Added,1970-1971,1997-1998
Major Classification of Factories by States,Physical Characteristics By States,1987,Gross Capital Formation,1979-1980,1997-1998
Major Classification of Factories by States,Physical Characteristics By States,1987,Fixed Capital,1970-1971,1997-1998
Major Classification of Factories by States,Physical Characteristics By States,1987,Products and By-products,1970-1971,1997-1998
Major Classification of Factories by States,Physical Characteristics By States,1987,Net Fixed Capital Formation,1979-1980,1997-1998
Major Classification of Factories by States,Physical Characteristics By States,1987,Profits,1979-1980,1997-1998
Major Classification of Factories by States,Physical Characteristics By States,1987,Net Income,1974-1975,1997-1998
Major Classification of Factories by States,Physical Characteristics By States,1987,Wages and Salaries - Total,1970-1971,1997-1998
Major Classification of Factories by States,Physical Characteristics By States,1987,Fuels Consumed - Total,1970-1971,1997-1998
Major Classification of Factories by States,Physical Characteristics By States,1987,Depreciation,1970-1971,1997-1998
Major Classification of Factories by States,Physical Characteristics By States,1987,Total Input,1970-1971,1997-1998
Major Classification of Factories by States,Physical Characteristics By States,1987,Number of Man Hours,1970-1971,1973-1974
Major Classification of Factories by States,Physical Characteristics By States,1987,Number of Mandays - Workers,1979-1980,1996-1997
Major Classification of Factories by States,Physical Characteristics By States,1987,Rent Paid,1979-1980,1997-1998
Major Classification of Factories by States,Physical Characteristics By States,1987,Number of Workers,1970-1971,1997-1998
Major Classification of Factories by States,Physical Characteristics By States,1987,Total Emoluments,1970-1971,1997-1998
