Data Type,Item Name,From Date,To Date
NIC-1987,Basic Chemicals & Chemical Products (except products of Petroleum & Coal),1987-1988,1997-1998
NIC-1987,Basic Metal and Alloy Industries,1987-1988,1997-1998
NIC-1987,"Beverages, Tobacco and Related Products",1987-1988,1997-1998
NIC-1987,Cotton Textiles,1987-1988,1997-1998
NIC-1987,"Electrical Machinery Apparatus, Appliances and Supplies and Parts",1987-1988,1997-1998
NIC-1987,Food Products,1987-1988,1997-1998
NIC-1987,Gas and Steam Generation and Distribution  Through Pipes,1987-1988,1997-1998
NIC-1987,Generation and transmission of electric energy,1987-1988,1997-1998
NIC-1987,Jute and other vegetable fibre Textiles (except cotton),1987-1988,1997-1998
NIC-1987,Leather and Leather & Fur Products,1987-1988,1997-1998
NIC-1987,Machinery and Equipment other than Transport equipment,1987-1988,1997-1998
NIC-1987,"Machinery, Machine Tools and Parts Except Electrical Machinery",1987-1988,1997-1998
NIC-1987,"Metal Products and Parts, except Machinery and Equipment",1987-1988,1997-1998
NIC-1987,NIC-1987,1987-1988,1997-1998
NIC-1987,Non-Conventional Energy Generation and Distribution,1987-1988,1997-1998
NIC-1987,Non-Metallic Mineral Products,1987-1988,1997-1998
NIC-1987,Other Manufacturing Industries,1987-1988,1997-1998
NIC-1987,Others,1987-1988,1997-1998
NIC-1987,"Paper & Paper Products and Printing, Publishing & Allied Industries",1987-1988,1997-1998
NIC-1987,Repair of Capital Goods,1987-1988,1997-1998
NIC-1987,Repair of household electrical appliances,1987-1988,1997-1998
NIC-1987,"Rubber, Plastic, Petroleum and Coal Products",1987-1988,1997-1998
NIC-1987,Services not elsewhere Classified,1987-1988,1997-1998
NIC-1987,Storage and Warehousing Services,1987-1988,1997-1998
NIC-1987,Textile Products (including Wearing Apparel),1987-1988,1997-1998
NIC-1987,Total,1987-1988,1997-1998
NIC-1987,Transport Equipment and Parts,1987-1988,1997-1998
NIC-1987,Water Works and Supply,1987-1988,1997-1998
NIC-1987,Wood and Wood Products; Furniture and Fixtures,1987-1988,1997-1998
NIC-1987,"Wool, Silk and man-made fibre textiles",1987-1988,1997-1998
NIC-1998,3-Digit Industries Group,1998-1999,2003-2004
NIC-1998,"Accumulators, primary cells and primary batteries",1998-1999,2003-2004
NIC-1998,"Agricultural and animal husbandry service activities, except veterinary activities",1998-1999,2003-2004
NIC-1998,"Agriculture, hunting and related service activities",1998-1999,2003-2004
NIC-1998,Aircraft and spacecraft,1998-1999,2003-2004
NIC-1998,Basic chemicals,1998-1999,2003-2004
NIC-1998,Basic Iron and Steel,1998-1999,2003-2004
NIC-1998,Basic metals,1998-1999,2003-2004
