Data Type,Group Type,Series Name,Item Name,From Date,To Date
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,"Agricultural and animal husbandry service activities, except veterinary activities",1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Dairy products,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Other textiles,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,"Prime movers, boilers, steam generating plants and nuclear reactors",1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Storage and warehousing services n.e.c.,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Weaving and finishing of cotton khadi,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Wholesale trade in furniture and fixtures,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Building installation,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Building of complete constructions or parts thereof; civil engineering,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Industrial organic and inorganic chemicals,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Locomotives and parts,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Optical instruments and photographic equipment,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Public services in the union government including defence services,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,"Special purpose machinery/equipment, their components and accessories n.e.c.",1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,"Grain mill products, starches and starch products and prepared animal feeds",1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Industrial machinery for food and textile industries,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Other food products,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Preparatory operations on jute and mesta fibres,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Refined petroleum products,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Bottling of natural gas or liquified petroleum gas.,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Cargo handling incidental to water transport,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Footwear made primarily of vulcanised or moulded rubber and plastics.,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,"Generation of gas in gas-works and distribution through mains to households, industrial, commercial and other users.",1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,"Maintenance and repair of office, accounting and computing machinery",1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Mining and quarrying n.e.c.,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,"Tanning and dressing of leather, manufacture of luggage handbags, saddlery & harness",1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Watches and clocks,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,"Hydrogenated oils and vanaspati ghee, etc.",1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Structural wooden goods,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,"Wooden and cane boxes, crates, drums, barrels and other containers, baskets and other wares",1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Footwear,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,"Hand tools, weights and measures and general hardware.",1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Malt liquors and malt,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,"Wearing apparel, except fur apparel",1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Construction and maintenance of power plants,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,"Educational services rendered by non-technical colleges, schools, universities and other institutions",1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Machinery and equipment used by construction and mining industries,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Non-structural ceramic ware,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Production of country liquor,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Repair of personal and household goods,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,"Construction/erection and maintenance of power, telecommunication and transmission lines",1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Furniture and fixtures primarily of metal,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,"Insulated wires and cables, including optical fibre cables",1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Knitted and crocheted fabrics and articles,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Printing and allied activities n.e.c.,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,"Production, processing and preservation of meat, fish, fruit vegetables, oils and fats",1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Bleaching and dyeing of woolen textiles,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Consumer goods of leather and substitutes of leather; other than apparel and footwear,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Cotton spinning other than in mills (charkha),1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Earthen and plaster products.,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Fruits and vegetables,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Glass and glass products.,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,"Spinning, weaving and finishing of textiles",1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,"Veneer sheets, plywood and their products",1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Construction and maintenance of hydro-electric projects.,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Containers and boxes of paper or paper board,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Electrical installation work for constructions,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Footwear (excluding repair) except of vulcanized or moulded rubber or plastic,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Health and medical services rendered by organisations and individuals,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Medical appliances and instruments,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Preparatory operations on coir fibres,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Wines,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,"Wool spinning, weaving and finishing other than in mills",1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,"Distribution of electric energy to households, industrial, commercial and other users.",1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Fabricated metal products n.e.c.,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Rubber products n.e.c.,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Software consultancy and supply,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,"Threads, cordage, ropes, twines and nets, etc.",1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Wearing apparel of leather and substitutes of leather,1998-1999,2002-2003
Major Industry Group & Rural-Urban Breakup for States  (3-Digit),Major Industry Group & Rural-Urban Breakup for States  (3-Digit),1998,Beverages,1998-1999,2002-2003
