Data Type,Group Type,Series Name,Item Name,From Date,To Date
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,"Domestic appliances, n.e.c.",1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Electronic valves and tubes and other electronic components,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Manufacture of animal oils and fats; manufacture of fish oil,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,manufacture of basic iron and steel,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Manufacture of basic precious and other non-ferrous metals,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Manufacture of chemical products n.e.c,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Manufacture of cork and cork products,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Manufacture of explosives; ammunition and fire-works,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Manufacture of footwear (excluding repair) except of vulcanized or moulded rubber or plastic,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Manufacture of hydrogenated oils and vanaspati ghee etc.,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,manufacture of motor vehicles,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Manufacture of other coal and coal tar products n. e. c,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,"Manufacture of refractory products and structural clay, products",1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,"Manufacture of semi-finished iron and steel products in fe-rolling mills, cold-rolling mills and wire-drawing mills.",1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,"Manufacture or photographic, cinematographic and optical goods and equipment (excluding photochemicals, sensitised paper and film.)",1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Motor vehicles,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Other manufacturing n.e.c.,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,"Printing and publishing of periodicals, books, journals, directories, atlases, maps, sheet music, schedules & pamphlets, etc",1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Production of common salt,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Publishing,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Railway and tramway locomotives and rolling stock,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Repair of industrial machinery other than machine tools,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Repair of machine tools,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Stone dressing and crushing: manufacture of structural stone goods and stoneware,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,"Structural metal products, tanks, reservoirs and steam generators",1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,waste collection,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Basic Iron & Steel,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,"Bleaching, dyeinb and printing of artificial/synthetic textile fabrics",1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,"Bleaching, dyeing and printing of jute and mesta textiles",1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Coke oven products,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Man-made fibres,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,"Manufacture of blankets, shawls, carpets, rugs, and other similar textile products",1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,"Manufacture of coke oven products (This group includes operation of coke ovens chiefly for the production of coke or semi-coke from hard-coal and lignite, retort carbon and residual products such as coal tar or pitch agglomeration of coke is included. Distillation of coal tar is classified in group 319)",1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Manufacture of motor cars and other motor vehicles principally designed for the transport of less than 10 persons (incldues manufacture of racing cars and golf-cars etc.),1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Manufacture of motor-cycles and scooter; and parts (including three-wheelers),1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Manufacture of non-structural ceramic ware,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,"Manufacture of paints, varnishes and related products; artists' colours and ink",1980-1981,1997-1998
