Data Type,Group Type,Series Name,Item Name,From Date,To Date
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Basic Chemicals & Chemical Products (except products of Petroleum & Coal),1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Basic Metal and Alloy Industries,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,"Beverages, Tobacco and Related Products",1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Cotton Textiles,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,"Electrical Machinery Apparatus, Appliances and Supplies and Parts",1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Food Products,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Gas and Steam Generation and Distribution  Through Pipes,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Generation and transmission of electric energy,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Jute and other vegetable fibre Textiles (except cotton),1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Leather and Leather & Fur Products,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Machinery and Equipment other than Transport equipment,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,"Machinery, Machine Tools and Parts Except Electrical Machinery",1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Manufacture of Basic Metals,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Manufacture of Chemicals and Products,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,"Manufacture of Coke, Refined Petroleum Products and Nuclear Fuel",1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,"manufacture of computer, electronic and optical products",1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Manufacture of electrical equipment,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Manufacture of Electrical Machinery and Apparatus N.E.C.,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,"Manufacture of fabricated metal products, except machinery and equipment",1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,"Manufacture of Fabricated Metal Products, Except Machinery and Equipments",1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Manufacture of furniture,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Manufacture of Furniture; Manufacturing N.E.C.,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Manufacture of machinery and equipment n.e.c,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,manufacture of machinery and equipment n.e.c.,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Manufacture of Machinery and Equipments N.E.C,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,"Manufacture of Medical, Precision and Optical Instruments, Watches and Clocks",1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,"Manufacture of motor vehicles, trailers and semi-trailers",1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,"Manufacture of Office, Accounting and Computing Machinery",1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Manufacture of Other Non-Metallic Mineral Products,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,manufacture of other transport equipment,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,"Manufacture of Radio, Television and Communication Equipments and Apparatus",1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Manufacture of Rubber and Plastic Products,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,manufacture of rubber and plastics products,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,"Metal Products and Parts, except Machinery and Equipment",1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Non-Conventional Energy Generation and Distribution,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Non-Metallic Mineral Products,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,other manufacturing,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Other Manufacturing Industries,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,"Paper & Paper Products and Printing, Publishing & Allied Industries",1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Personal Services,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,"Publishing, Printing and Reproduction of Recorded Media",1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Recreational and Cultural Services,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Recycling,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Repair and installation of machinery and equipment,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Repair of Capital Goods,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Repair of household electrical appliances,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,"Rubber, Plastic, Petroleum and Coal Products",1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Sanitary Services,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Services not elsewhere Classified,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Storage and Warehousing Services,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Textile Products (including Wearing Apparel),1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Transport Equipment and Parts,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,"waste collection, treatment and disposal activities; materials recovery",1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Water Works and Supply,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,Wood and Wood Products; Furniture and Fixtures,1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1987,"Wool, Silk and man-made fibre textiles",1979-1980,1997-1998
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,"Agriculture, Hunting and Related Service Activities",1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Basic Chemicals & Chemical Products (except products of Petroleum & Coal),1998-1999,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Basic Metal and Alloy Industries,1998-1999,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,"Beverages, Tobacco and Related Products",1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Cotton Textiles,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,"crop and animal production, hunting and related service activities",1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,"Electrical Machinery Apparatus, Appliances and Supplies and Parts",1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Generation and transmission of electric energy,1998-1999,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Jute and other vegetable fibre Textiles (except cotton),1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Leather and Leather & Fur Products,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,"Machinery, Machine Tools and Parts Except Electrical Machinery",1998-1999,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Manufacture of Basic Metals,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,manufacture of chemicals and chemical products,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Manufacture of Chemicals and Products,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Manufacture of coke and refined petroleum products,1998-1999,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,"Manufacture of Coke, Refined Petroleum Products and Nuclear Fuel",1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,"manufacture of computer, electronic and optical products",1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Manufacture of electrical equipment,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Manufacture of Electrical Machinery and Apparatus N.E.C.,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,"Manufacture of fabricated metal products, except machinery and equipment",1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,"Manufacture of Fabricated Metal Products, Except Machinery and Equipments",1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Manufacture of Food Products and Beverages,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Manufacture of furniture,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Manufacture of Furniture; Manufacturing N.E.C.,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Manufacture of leather and related products,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Manufacture of machinery and equipment n.e.c,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,manufacture of machinery and equipment n.e.c.,1989-1990,2003-2004
Major Industry Group for States (2-Digit),Principal Characteristics By State and By Major Industry Groups (2-Digit),1998,Manufacture of Machinery and Equipments N.E.C,1989-1990,2003-2004
